Compliance_ID,Audit_Date,Company,Department,Plant,Deviation_Type,Severity,Root_Cause,CAPA_Status,Closure_Date,Compliance_Status,Risk_Score,Product,Batch_Number,Auditor,Remarks
CMP00139,2025-10-06,Sun Pharma,QA,Vizag,SOP,Critical,Training Issue,In Progress,2025-10-12,Compliant,74,Ointment,BT34505,Anil,Follow SOP
CMP00140,2024-07-20,Novartis,Production,Chennai,Documentation,High,Training Issue,Closed,2024-08-04,Non-Compliant,80,Injection,BT90541,Kiran,No Remarks
CMP00143,2024-06-20,Abbott,Packaging,Chennai,Calibration,Low,Documentation Error,In Progress,2024-06-23,Compliant,74,Injection,BT81186,Anil,No Remarks
CMP00144,2024-02-12,Lupin,R&D,Hyderabad,Cleaning,Critical,Training Issue,Closed,2024-03-08,Compliant,57,Capsule,BT37509,Kiran,Follow SOP
CMP00148,2025-07-01,Cipla,QA,Chennai,Cleaning,Critical,Training Issue,In Progress,2025-07-14,Compliant,6,Syrup,BT12134,Ravi,Requires Review
CMP00152,2025-10-05,Dr. Reddy's,QA,Chennai,Calibration,Critical,Documentation Error,Closed,2025-10-29,Non-Compliant,41,Capsule,BT46302,Ravi,Requires Review
CMP00155,2024-01-15,Novartis,QA,Pune,Calibration,Low,Documentation Error,Open,2024-01-24,Compliant,36,Injection,BT20357,Kiran,Requires Review
CMP00158,2025-03-15,Sun Pharma,Packaging,Pune,Validation,Low,Equipment Failure,Closed,2025-03-24,Compliant,33,Ointment,BT98358,Ravi,Requires Review
CMP00163,2024-05-16,Pfizer,Warehouse,Pune,Calibration,Low,Training Issue,Closed,2024-06-06,Non-Compliant,35,Tablet,BT36569,Priya,No Remarks
CMP00169,2024-12-18,Lupin,Packaging,Hyderabad,Cleaning,High,Material Issue,Closed,2025-01-17,Compliant,21,Capsule,BT96096,Priya,Follow SOP
CMP00170,2025-06-30,Cipla,R&D,Vizag,SOP,Low,Material Issue,Closed,2025-07-27,Non-Compliant,76,Injection,BT84403,Kiran,Requires Review
CMP00172,2024-05-31,Novartis,R&D,Chennai,Documentation,Medium,Training Issue,Closed,2024-06-19,Non-Compliant,18,Syrup,BT93789,Sneha,Follow SOP
CMP00174,2025-09-18,Cipla,R&D,Hyderabad,Calibration,Low,Training Issue,Closed,2025-09-26,Compliant,34,Capsule,BT18885,Anil,Follow SOP
CMP00176,2024-02-04,Dr. Reddy's,Production,Chennai,Documentation,High,Training Issue,In Progress,2024-02-14,Non-Compliant,91,Syrup,BT95673,Priya,No Remarks
CMP00177,2025-03-20,GSK,Production,Bangalore,Calibration,Low,Training Issue,Closed,2025-03-26,Compliant,13,Syrup,BT84943,Kiran,Urgent
CMP00182,2024-03-09,Mylan,Warehouse,Chennai,Validation,Critical,Documentation Error,Open,,Non-Compliant,20,Ointment,BT87061,Kiran,No Remarks
CMP00183,2024-04-18,Mylan,Production,Chennai,Cleaning,High,Human Error,Open,2024-05-07,Non-Compliant,52,Ointment,BT89777,Sneha,No Remarks
CMP00184,2025-02-09,Lupin,QC,Bangalore,Equipment,Medium,Documentation Error,In Progress,2025-03-10,Compliant,30,Injection,BT68079,Anil,Follow SOP
CMP00186,2024-01-30,Lupin,QA,Bangalore,Cleaning,Medium,Material Issue,Closed,2024-02-05,Compliant,88,Capsule,BT58819,Sneha,No Remarks
CMP00190,2024-10-10,Aurobindo Pharma,QC,Hyderabad,Validation,High,Documentation Error,In Progress,2024-10-31,Non-Compliant,88,Tablet,BT95904,Sneha,Follow SOP
CMP00193,2025-04-19,Aurobindo Pharma,Production,Chennai,Documentation,Critical,Documentation Error,In Progress,2025-05-17,Non-Compliant,53,Capsule,BT28004,Priya,Follow SOP
CMP00194,2025-02-23,Cipla,Warehouse,Bangalore,Calibration,Medium,Human Error,Open,2025-03-14,Non-Compliant,36,Capsule,BT85534,Priya,Urgent
CMP00198,2025-11-08,Cipla,R&D,Vizag,Calibration,Low,Human Error,Closed,2025-11-12,Non-Compliant,85,Ointment,BT45386,Kiran,No Remarks
CMP00203,2025-08-27,Cipla,Packaging,Pune,Cleaning,Critical,Human Error,Closed,2025-09-12,Non-Compliant,6,Injection,BT95848,Anil,No Remarks
CMP00219,2025-10-29,Dr. Reddy's,QC,Vizag,Calibration,Low,Equipment Failure,In Progress,,Non-Compliant,14,Ointment,BT67047,Ravi,Requires Review
CMP00222,2024-06-09,Lupin,QA,Bangalore,Documentation,Medium,Material Issue,In Progress,2024-06-27,Compliant,16,Tablet,BT85067,Kiran,Urgent
CMP00223,2025-07-04,GSK,Production,Vizag,SOP,High,Equipment Failure,Open,2025-07-22,Non-Compliant,25,Capsule,BT97946,Kiran,No Remarks
CMP00224,2025-07-16,Pfizer,R&D,Bangalore,SOP,Low,Equipment Failure,Open,2025-07-31,Non-Compliant,80,Capsule,BT51652,Sneha,Urgent
CMP00226,2025-04-18,Cipla,QC,Chennai,SOP,High,Training Issue,In Progress,2025-05-03,Compliant,94,Tablet,BT76476,Ravi,No Remarks
CMP00235,2025-09-09,Abbott,Production,Pune,Equipment,Critical,Material Issue,In Progress,2025-09-27,Compliant,55,Injection,BT72539,Priya,No Remarks
CMP00238,2025-11-06,Pfizer,R&D,Chennai,Validation,Medium,Human Error,Open,2025-11-10,Non-Compliant,82,Tablet,BT29048,Sneha,No Remarks
CMP00241,2024-04-02,Novartis,QC,Chennai,Documentation,High,Training Issue,Open,2024-04-20,Non-Compliant,65,Ointment,BT19487,Kiran,Follow SOP
CMP00242,2024-12-14,Mylan,Packaging,Pune,SOP,High,Training Issue,Closed,2024-12-18,Non-Compliant,76,Syrup,BT25239,Anil,No Remarks
CMP00246,2024-05-11,Cipla,Packaging,Pune,Documentation,Critical,Material Issue,Closed,2024-05-13,Non-Compliant,89,Tablet,BT98356,Priya,Urgent
CMP00248,2025-04-06,GSK,Packaging,Pune,Cleaning,Medium,Equipment Failure,Open,2025-04-12,Compliant,61,Capsule,BT65249,Sneha,Requires Review
CMP00252,2024-10-04,Cipla,Warehouse,Vizag,Calibration,High,Training Issue,In Progress,2024-11-02,Compliant,27,Syrup,BT23501,Ravi,No Remarks
CMP00255,2025-06-20,Novartis,R&D,Bangalore,SOP,High,Training Issue,Open,2025-07-11,Compliant,67,Injection,BT47586,Sneha,No Remarks
CMP00256,2024-01-09,GSK,Warehouse,Bangalore,SOP,Critical,Documentation Error,In Progress,2024-02-01,Non-Compliant,51,Capsule,BT94671,Sneha,Urgent
CMP00257,2024-08-13,Lupin,Production,Bangalore,Calibration,Critical,Material Issue,Closed,2024-08-22,Non-Compliant,25,Capsule,BT27907,Anil,No Remarks
CMP00260,2024-07-15,Abbott,QC,Vizag,Calibration,Critical,Human Error,Open,2024-08-13,Non-Compliant,95,Ointment,BT97294,Priya,Urgent
CMP00261,2025-02-02,Abbott,QC,Bangalore,SOP,High,Training Issue,Open,2025-02-24,Compliant,15,Syrup,BT52534,Ravi,Requires Review
CMP00262,2024-10-09,Mylan,Production,Vizag,Equipment,Critical,Human Error,Open,2024-10-28,Compliant,64,Ointment,BT54357,Ravi,No Remarks
CMP00263,2024-12-30,Abbott,QA,Vizag,Documentation,Low,Documentation Error,Closed,2025-01-20,Compliant,33,Syrup,BT67344,Kiran,Follow SOP
CMP00271,2024-01-17,Lupin,Production,Chennai,Validation,High,Material Issue,In Progress,2024-02-03,Compliant,13,Syrup,BT56616,Priya,Requires Review
CMP00273,2024-03-21,Aurobindo Pharma,Production,Chennai,Documentation,High,Documentation Error,Open,2024-04-15,Non-Compliant,68,Injection,BT80769,Kiran,Requires Review
CMP00274,2024-11-30,Mylan,R&D,Chennai,Documentation,Medium,Equipment Failure,Closed,2024-12-17,Non-Compliant,51,Capsule,BT54062,Ravi,Urgent
CMP00277,2025-09-30,Dr. Reddy's,Warehouse,Hyderabad,Calibration,Low,Human Error,Open,2025-10-05,Compliant,37,Injection,BT24585,Anil,Urgent
CMP00278,2025-04-27,Mylan,QC,Vizag,Calibration,Medium,Human Error,Closed,2025-04-28,Compliant,33,Tablet,BT47226,Priya,No Remarks
CMP00289,2025-10-11,Sun Pharma,Production,Vizag,Equipment,Critical,Material Issue,In Progress,2025-10-23,Compliant,21,Capsule,BT16725,Sneha,Follow SOP
CMP00291,2025-04-09,Aurobindo Pharma,Production,Hyderabad,SOP,Low,Equipment Failure,Open,2025-04-23,Non-Compliant,5,Tablet,BT97424,Kiran,No Remarks
CMP00292,2024-11-01,Mylan,Production,Chennai,Validation,Low,Equipment Failure,Closed,2024-11-12,Non-Compliant,5,Injection,BT52312,Anil,Urgent
CMP00294,2025-12-24,Abbott,Warehouse,Chennai,Calibration,High,Documentation Error,Closed,2026-01-03,Compliant,79,Injection,BT35369,Ravi,No Remarks
CMP00296,2025-06-02,Cipla,QC,Vizag,Equipment,Low,Training Issue,In Progress,2025-06-20,Non-Compliant,61,Capsule,BT73110,Priya,Urgent
CMP00297,2025-07-03,Pfizer,QC,Chennai,Validation,Critical,Human Error,Open,2025-08-01,Non-Compliant,46,Capsule,BT46760,Ravi,Follow SOP
CMP00304,2024-04-09,Pfizer,QC,Pune,SOP,Critical,Training Issue,Closed,2024-04-24,Non-Compliant,63,Tablet,BT72303,Ravi,Follow SOP
CMP00307,2025-09-02,Mylan,QC,Pune,Equipment,Low,Documentation Error,In Progress,2025-09-17,Compliant,12,Capsule,BT86122,Ravi,Requires Review
CMP00311,2024-03-27,Abbott,R&D,Chennai,Cleaning,Critical,Material Issue,Closed,2024-04-01,Non-Compliant,46,Capsule,BT65675,Kiran,No Remarks
CMP00312,2025-08-14,Sun Pharma,R&D,Chennai,Cleaning,Medium,Training Issue,Open,2025-08-30,Non-Compliant,89,Capsule,BT78997,Anil,Urgent
CMP00313,2025-06-13,GSK,Packaging,Chennai,Equipment,Low,Material Issue,Open,2025-06-16,Non-Compliant,69,Syrup,BT69511,Kiran,Urgent
CMP00315,2025-11-03,Cipla,R&D,Chennai,Equipment,Low,Training Issue,Closed,2025-11-13,Compliant,95,Ointment,BT32886,Kiran,Requires Review
CMP00319,2025-02-04,Cipla,R&D,Bangalore,Validation,Medium,Human Error,In Progress,2025-02-19,Compliant,9,Syrup,BT22805,Kiran,No Remarks
CMP00321,2024-04-23,Novartis,QA,Bangalore,Equipment,High,Equipment Failure,Open,2024-05-16,Non-Compliant,100,Syrup,BT60933,Anil,No Remarks
CMP00324,2025-03-22,Mylan,Production,Chennai,Equipment,Low,Training Issue,In Progress,2025-04-04,Non-Compliant,52,Tablet,BT57887,Kiran,Follow SOP
CMP00326,2024-01-26,Abbott,Packaging,Hyderabad,Documentation,Medium,Training Issue,Open,2024-02-19,Non-Compliant,93,Syrup,BT25491,Priya,No Remarks
CMP00327,2025-04-14,Sun Pharma,Packaging,Pune,Validation,Medium,Human Error,Open,2025-05-06,Compliant,2,Tablet,BT50283,Ravi,Urgent
CMP00331,2025-12-09,Novartis,Packaging,Hyderabad,Validation,Medium,Equipment Failure,Open,2025-12-11,Compliant,68,Ointment,BT57435,Kiran,No Remarks
CMP00334,2024-08-23,Dr. Reddy's,Production,Pune,Validation,High,Documentation Error,Open,2024-09-17,Non-Compliant,19,Ointment,BT69636,Priya,Urgent
CMP00335,2025-01-17,Sun Pharma,Warehouse,Bangalore,SOP,Medium,Human Error,Closed,2025-01-22,Non-Compliant,54,Injection,BT38816,Anil,No Remarks
CMP00337,2025-08-16,GSK,Packaging,Hyderabad,Cleaning,Medium,Material Issue,Closed,2025-08-24,Non-Compliant,90,Syrup,BT74918,Priya,No Remarks
CMP00339,2025-10-03,Novartis,R&D,Bangalore,Calibration,Low,Material Issue,In Progress,2025-10-18,Compliant,88,Ointment,BT54000,Ravi,No Remarks
CMP00342,2025-04-07,Dr. Reddy's,QC,Hyderabad,SOP,Low,Training Issue,Open,2025-04-27,Compliant,64,Capsule,BT78247,Ravi,Follow SOP
CMP00344,2025-07-15,Pfizer,Warehouse,Bangalore,Documentation,High,Equipment Failure,Closed,2025-07-30,Non-Compliant,59,Ointment,BT31075,Kiran,Follow SOP
CMP00350,2025-08-24,Mylan,Production,Pune,Documentation,Medium,Human Error,Closed,2025-09-13,Non-Compliant,54,Ointment,BT70570,Kiran,Requires Review
CMP00354,2024-07-17,Lupin,R&D,Bangalore,Calibration,Medium,Training Issue,Open,2024-08-11,Non-Compliant,19,Capsule,BT77917,Anil,Follow SOP
CMP00356,2025-05-06,Cipla,QC,Bangalore,Documentation,High,Human Error,Open,2025-05-18,Compliant,89,Capsule,BT50295,Priya,Requires Review
CMP00357,2024-05-13,GSK,Warehouse,Chennai,Documentation,Low,Documentation Error,Open,2024-05-16,Non-Compliant,6,Injection,BT97501,Ravi,No Remarks
CMP00361,2025-04-12,Novartis,R&D,Vizag,Documentation,High,Documentation Error,In Progress,2025-05-02,Non-Compliant,23,Syrup,BT98092,Ravi,Urgent
CMP00363,2024-10-12,Novartis,R&D,Pune,Validation,High,Training Issue,Open,2024-11-06,Non-Compliant,14,Injection,BT74138,Sneha,Requires Review
CMP00364,2025-10-05,Mylan,Production,Bangalore,SOP,Low,Training Issue,In Progress,2025-10-10,Compliant,98,Ointment,BT74512,Sneha,Requires Review
CMP00376,2025-06-21,Novartis,Warehouse,Vizag,Cleaning,Low,Equipment Failure,Open,2025-06-30,Compliant,23,Injection,BT67602,Sneha,Follow SOP
CMP00377,2025-08-26,Lupin,Warehouse,Vizag,Equipment,High,Documentation Error,In Progress,2025-08-28,Non-Compliant,40,Ointment,BT14562,Ravi,Requires Review
CMP00378,2024-09-16,Aurobindo Pharma,Warehouse,Pune,Cleaning,High,Human Error,Closed,2024-10-04,Non-Compliant,39,Capsule,BT48983,Priya,Requires Review
CMP00381,2025-06-12,Cipla,R&D,Bangalore,SOP,Medium,Material Issue,Closed,2025-07-05,Non-Compliant,26,Syrup,BT58182,Priya,Urgent
CMP00391,2025-11-04,Mylan,QC,Vizag,SOP,Low,Human Error,In Progress,2025-11-05,Non-Compliant,42,Tablet,BT81716,Kiran,Urgent
CMP00394,2024-12-15,Dr. Reddy's,R&D,Bangalore,Cleaning,Medium,Documentation Error,Open,2024-12-30,Non-Compliant,39,Capsule,BT99694,Anil,Requires Review
CMP00396,2024-07-05,Abbott,Warehouse,Chennai,Equipment,Low,Training Issue,Open,2024-08-01,Compliant,24,Ointment,BT43989,Ravi,Urgent
CMP00401,2025-10-25,Lupin,Warehouse,Vizag,Cleaning,Low,Training Issue,Closed,,Compliant,65,Ointment,BT99780,Anil,No Remarks
CMP00404,2024-04-26,GSK,QA,Bangalore,SOP,Low,Material Issue,In Progress,2024-05-16,Compliant,91,Syrup,BT69917,Ravi,No Remarks
CMP00406,2024-07-25,Pfizer,Warehouse,Pune,Equipment,Low,Equipment Failure,Open,2024-08-09,Non-Compliant,30,Syrup,BT64186,Sneha,Urgent
CMP00407,2025-06-12,Dr. Reddy's,R&D,Hyderabad,Equipment,High,Training Issue,Closed,2025-07-08,Compliant,56,Syrup,BT14861,Priya,No Remarks
CMP00410,2024-08-06,Mylan,Packaging,Bangalore,SOP,High,Training Issue,In Progress,2024-08-09,Non-Compliant,65,Tablet,BT58887,Anil,No Remarks
CMP00412,2025-01-21,Cipla,R&D,Pune,Cleaning,Medium,Human Error,Open,2025-02-07,Compliant,55,Syrup,BT38152,Sneha,No Remarks
CMP00413,2025-01-13,Novartis,Packaging,Pune,Calibration,Critical,Documentation Error,In Progress,2025-02-04,Non-Compliant,21,Ointment,BT26662,Sneha,Urgent
CMP00415,2025-01-15,Lupin,QC,Bangalore,SOP,High,Equipment Failure,In Progress,2025-01-25,Non-Compliant,1,Ointment,BT55698,Ravi,No Remarks
CMP00423,2024-01-02,Lupin,Warehouse,Pune,Equipment,High,Equipment Failure,In Progress,2024-01-29,Non-Compliant,6,Ointment,BT83804,Ravi,Follow SOP
CMP00426,2024-02-01,Cipla,R&D,Hyderabad,Documentation,Critical,Documentation Error,Closed,2024-03-01,Compliant,57,Capsule,BT12592,Anil,Follow SOP
CMP00429,2025-04-09,GSK,Warehouse,Pune,Cleaning,Low,Training Issue,In Progress,2025-04-10,Compliant,93,Tablet,BT46429,Sneha,No Remarks
CMP00430,2025-04-04,Novartis,Production,Hyderabad,SOP,Critical,Equipment Failure,Open,2025-04-15,Non-Compliant,40,Tablet,BT13653,Sneha,Urgent
CMP00431,2024-01-25,Pfizer,R&D,Chennai,SOP,High,Human Error,In Progress,2024-02-13,Non-Compliant,98,Syrup,BT85882,Ravi,No Remarks
CMP00432,2024-03-03,Abbott,Production,Hyderabad,Equipment,Critical,Material Issue,In Progress,2024-04-02,Non-Compliant,9,Tablet,BT83303,Ravi,Follow SOP
CMP00434,2024-04-15,Pfizer,Packaging,Pune,Cleaning,Low,Material Issue,Closed,2024-04-16,Compliant,32,Tablet,BT17928,Priya,Follow SOP
CMP00435,2025-08-21,Pfizer,Packaging,Bangalore,Equipment,High,Human Error,In Progress,2025-09-04,Compliant,8,Ointment,BT83328,Ravi,Urgent
CMP00437,2025-05-22,Pfizer,Production,Pune,SOP,Medium,Documentation Error,Open,2025-05-30,Compliant,47,Tablet,BT56908,Ravi,No Remarks
CMP00439,2024-06-29,Aurobindo Pharma,Production,Bangalore,Cleaning,Low,Equipment Failure,Closed,2024-07-26,Non-Compliant,85,Ointment,BT91684,Sneha,No Remarks
CMP00446,2025-10-31,GSK,QA,Pune,Calibration,Critical,Documentation Error,Closed,2025-11-17,Compliant,41,Syrup,BT64747,Priya,Urgent
CMP00449,2024-12-02,Abbott,Warehouse,Hyderabad,SOP,High,Equipment Failure,Open,2024-12-21,Non-Compliant,37,Capsule,BT48155,Kiran,No Remarks
CMP00450,2025-04-10,GSK,QC,Pune,Cleaning,Low,Human Error,Closed,2025-04-12,Compliant,17,Injection,BT66649,Sneha,Requires Review
CMP00453,2025-12-16,Aurobindo Pharma,QA,Pune,Cleaning,Medium,Material Issue,Open,2025-12-18,Non-Compliant,10,Ointment,BT52731,Sneha,Urgent
CMP00456,2025-11-24,Sun Pharma,QA,Chennai,Calibration,Critical,Human Error,Closed,2025-12-03,Non-Compliant,57,Ointment,BT10611,Ravi,Urgent
CMP00457,2024-07-25,Aurobindo Pharma,QA,Hyderabad,SOP,High,Human Error,In Progress,,Compliant,93,Tablet,BT64484,Kiran,No Remarks
CMP00459,2024-08-13,Mylan,R&D,Pune,Documentation,High,Material Issue,In Progress,2024-08-16,Compliant,33,Ointment,BT52513,Sneha,Requires Review
CMP00460,2024-12-06,Abbott,R&D,Pune,Validation,Critical,Equipment Failure,In Progress,2024-12-12,Compliant,30,Ointment,BT26260,Anil,Requires Review
CMP00463,2024-07-16,Aurobindo Pharma,R&D,Vizag,Validation,Medium,Human Error,Closed,2024-07-18,Non-Compliant,40,Capsule,BT42102,Sneha,Requires Review
CMP00467,2025-02-22,Pfizer,Production,Chennai,Calibration,Low,Documentation Error,In Progress,2025-03-23,Non-Compliant,90,Syrup,BT65579,Priya,Requires Review
CMP00468,2025-05-04,Lupin,QC,Vizag,Validation,Low,Material Issue,In Progress,2025-05-06,Compliant,2,Tablet,BT94462,Sneha,Urgent
CMP00472,2024-10-27,Dr. Reddy's,Warehouse,Hyderabad,Documentation,Low,Training Issue,Open,2024-10-30,Compliant,13,Ointment,BT10951,Sneha,No Remarks
CMP00475,2024-11-29,Abbott,Warehouse,Hyderabad,Calibration,Medium,Documentation Error,Closed,2024-12-21,Compliant,92,Ointment,BT84959,Kiran,No Remarks
